YAL064W-B	YAL064W-B	YAL064W-B	Fungal-specific protein of unknown function
ZEO1	YOL109W	ZEO1	Peripheral membrane protein of the plasma membrane that interacts with Mid2p; regulates the cell integrity pathway mediated by Pkc1p and Slt2p; the authentic protein is detected in a phosphorylated state in highly purified mitochondria
DUF1	YOL087C	DUF1	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; deletion mutant is sensitive to various chemicals including phenanthroline, sanguinarine, and nordihydroguaiaretic acid
MHF1	YOL086W-A	MHF1	Putative protein of unknown function; mutant in a srs2 mutant background displays MMS hypersensitivity; ortholog of human MHF1, a component of the Fanconi anemia (FA) complex that is involved in maintaining genome stability
PHM7	YOL084W	PHM7	Protein of unknown function, expression is regulated by phosphate levels; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery and vacuole
ATG19	YOL082W	ATG19	Receptor protein specific for the cytoplasm-to-vacuole targeting (Cvt) pathway; delivers cargo proteins aminopeptidase I (Lap4p) and alpha-mannosidase (Ams1p) to the phagophore assembly site for packaging into Cvt vesicles
REX4	YOL080C	REX4	Putative RNA exonuclease possibly involved in pre-rRNA processing and ribosome assembly
ATP19	YOL077W-A	ATP19	Subunit k of the mitochondrial F1F0 ATP synthase, which is a large enzyme complex required for ATP synthesis; associated only with the dimeric form of ATP synthase
BRX1	YOL077C	BRX1	Nucleolar protein, constituent of 66S pre-ribosomal particles; depletion leads to defects in rRNA processing and a block in the assembly of large ribosomal subunits; possesses a sigma(70)-like RNA-binding motif
DSC2	YOL073C	DSC2	Putative protein of unknown function
SDH5	YOL071W	SDH5	Subunit of succinate dehydrogenase, which couples succinate oxidation to ubiquinone reduction; required for FAD cofactor attachment to Sdh1p; mutations in human ortholog PGL2 are associated with neuroendocrine tumors (paraganglioma)
RTG1	YOL067C	RTG1	Transcription factor (bHLH) involved in interorganelle communication between mitochondria, peroxisomes, and nucleus
INP54	YOL065C	INP54	Phosphatidylinositol 4,5-bisphosphate 5-phosphatase with a role in secretion, localizes to the endoplasmic reticulum via the C-terminal tail; lacks the Sac1 domain and proline-rich region found in the other 3 INP proteins
MAM3	YOL060C	MAM3	Protein required for normal mitochondrial morphology, has similarity to hemolysins
PSH1	YOL054W	PSH1	E3 ubiquitin ligase that mediates poyubiquitination and degradation of centromere-binding protein Cse4p and prevents Cse4p from mislocalizing to euchromatin; ubiquitylation of Cse4p may be antagonized by Scm3p
AIM39	YOL053W	AIM39	Putative protein of unknown function; null mutant displays elevated frequency of mitochondrial genome loss
DDR2	YOL052C-A	DDR2	Multistress response protein, expression is activated by a variety of xenobiotic agents and environmental or physiological stresses
GAL11	YOL051W	GAL11	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; affects transcription by acting as target of activators and repressors; forms part of the tail domain of mediator
RRT8	YOL048C	RRT8	Putative protein of unknown function; identified in a screen for mutants with increased levels of rDNA transcription; green fluorescent protein (GFP)-fusion protein localizes to lipid particles
LDS2	YOL047C	LDS2	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern
NTG2	YOL043C	NTG2	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase involved in base excision repair, localizes to the nucleus; sumoylated
NOP12	YOL041C	NOP12	Nucleolar protein involved in pre-25S rRNA processing and biogenesis of large 60S ribosomal subunit; contains an RNA recognition motif (RRM); binds to Ebp2; similar to Nop13p and Nsr1p
PRE6	YOL038W	PRE6	Alpha 4 subunit of the 20S proteasome; may replace alpha 3 subunit (Pre9p) under stress conditions to create a more active proteasomal isoform; GFP-fusion protein relocates from cytosol to the mitochondrial surface upon oxidative stress
OPI10	YOL032W	OPI10	Protein with a possible role in phospholipid biosynthesis, based on inositol-excreting phenotype of the null mutant and its suppression by exogenous choline
TLG2	YOL018C	TLG2	Syntaxin-like t-SNARE that forms a complex with Tlg1p and Vti1p and mediates fusion of endosome-derived vesicles with the late Golgi; binds Vps45p, which prevents Tlg2p degradation and also facilitates t-SNARE complex formation; homologous to mammalian SNARE protein syntaxin 16 (Sx16)
RCL1	YOL010W	RCL1	Subunit of U3-containing 90S preribosome processome complex involved in 18S rRNA biogenesis and small ribosomal subunit assembly; stimulates Bms1p GTPase and U3 binding activity; similar to RNA cyclase-like proteins but no activity detected
IZH2	YOL002C	IZH2	Plasma membrane protein involved in zinc homeostasis and osmotin-induced apoptosis; transcription regulated by Zap1p, zinc and fatty acid levels; similar to mammalian adiponectins; deletion increases sensitivity to elevated zinc
DNL4	YOR005C	DNL4	DNA ligase required for nonhomologous end-joining (NHEJ), forms stable heterodimer with required cofactor Lif1p, interacts with Nej1p; involved in meiosis, not essential for vegetative growth
TSR3	YOR006C	TSR3	Protein required for correct processing of the 20S pre-rRNA at site D to generate mature 18S rRNA; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus
ROD1	YOR018W	ROD1	Membrane protein that binds the ubiquitin ligase Rsp5p via its 2 PY motifs; overexpression confers resistance to the GST substrate o-dinitrobenzene,zinc, and calcium; proposed to regulate the endocytosis of plasma membrane proteins
DDL1	YOR022C	DDL1	Protein with similarity to bovine phospholipase A1; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
AHC1	YOR023C	AHC1	Subunit of the Ada histone acetyltransferase complex, required for structural integrity of the complex
STI1	YOR027W	STI1	Hsp90 cochaperone, interacts with the Ssa group of the cytosolic Hsp70 chaperones and activates Ssa1p ATPase activity; interacts with Hsp90 chaperones and inhibits their ATPase activity; homolog of mammalian Hop
SHE4	YOR035C	SHE4	Protein containing a UCS (UNC-45/CRO1/SHE4) domain, binds to myosin motor domains to regulate myosin function; involved in endocytosis, polarization of the actin cytoskeleton, and asymmetric mRNA localization
GLO4	YOR040W	GLO4	Mitochondrial glyoxalase II, catalyzes the hydrolysis of S-D-lactoylglutathione into glutathione and D-lactate
CUE5	YOR042W	CUE5	Protein containing a CUE domain that binds ubiquitin, which may facilitate intramolecular monoubiquitination; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern
VHS3	YOR054C	VHS3	Negative regulatory subunit of protein phosphatase 1 Ppz1p and also a subunit of the phosphopantothenoylcysteine decarboxylase (PPCDC; Cab3p, Sis2p, Vhs3p) complex, which catalyzes the third step of coenzyme A biosynthesis
YOR055W	YOR055W	YOR055W	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data
MSA1	YOR066W	MSA1	Activator of G1-specific transcription factors, MBF and SBF; involved in regulation of the timing of G1-specific gene transcription and cell cycle initiation; localization is cell-cycle dependent and regulated by Cdc28p phosphorylation
NRT1	YOR071C	NRT1	High-affinity nicotinamide riboside transporter; also transports thiamine with low affinity; shares sequence similarity with Thi7p and Thi72p; proposed to be involved in 5-fluorocytosine sensitivity
BUD21	YOR078W	BUD21	Component of small ribosomal subunit (SSU) processosome that contains U3 snoRNA; originally isolated as bud-site selection mutant that displays a random budding pattern
DIA2	YOR080W	DIA2	Origin-binding F-box protein; forms an SCF ubiquitin ligase complex with Skp1p and Cdc53p; plays a role in DNA replication; plays a role in transcription; required for correct assembly of RSC complex, correct RSC-mediated transcription regulation, and correct nucleosome positioning; involved in invasive and pseudohyphal growth
TCB1	YOR086C	TCB1	Lipid-binding protein containing three calcium and lipid binding domains; non-tagged protein localizes to mitochondria and GFP-fusion protein localizes to the cell periphery; C-termini of Tcb1p, Tcb2p and Tcb3p interact
YOR097C	YOR097C	YOR097C	Putative protein of unknown function; identified as interacting with Hsp82p in a high-throughput two-hybrid screen; YOR097C is not an essential gene
OST2	YOR103C	OST2	Epsilon subunit of the oligosaccharyltransferase complex of the ER lumen, which catalyzes asparagine-linked glycosylation of newly synthesized proteins
TFC7	YOR110W	TFC7	One of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauA globular domain of TFIIIC that binds DNA at the BoxA promoter sites of tRNA and similar genes
AZF1	YOR113W	AZF1	Zinc-finger transcription factor, involved in induction of CLN3 transcription in response to glucose; genetic and physical interactions indicate a possible role in mitochondrial transcription or genome maintenance
GCY1	YOR120W	GCY1	Putative NADP(+) coupled glycerol dehydrogenase, proposed to be involved in an alternative pathway for glycerol catabolism; also has mRNA binding activity; member of the aldo-keto reductase (AKR) family
YOR121C	YOR121C	YOR121C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; open reading frame overlaps the verified gene GCY1/YOR120W
PFY1	YOR122C	PFY1	Profilin, binds actin, phosphatidylinositol 4,5-bisphosphate, and polyproline regions; involved in cytoskeleton organization; required for normal timing of actin polymerization in response to thermal stress
VPS17	YOR132W	VPS17	Subunit of the membrane-associated retromer complex essential for endosome-to-Golgi retrograde protein transport; peripheral membrane protein that assembles onto the membrane with Vps5p to promote vesicle formation
RUP1	YOR138C	RUP1	Protein involved in regulation of Rsp5p, which is an essential HECT ubiquitin ligase; has a WW domain consensus motif of PPPSY (residues 131-135) that mediates binding of Rsp5p to Ubp2p; contains an UBA domain
ARP8	YOR141C	ARP8	Nuclear actin-related protein involved in chromatin remodeling, component of chromatin-remodeling enzyme complexes; has mRNA binding activity
ELG1	YOR144C	ELG1	Subunit of an alternative replication factor C complex important for DNA replication and genome integrity; suppresses spontaneous DNA damage; involved in homologous recombination-mediated repair and telomere homeostasis
MRPL23	YOR150W	MRPL23	Mitochondrial ribosomal protein of the large subunit
SLP1	YOR154W	SLP1	Integral membrane protein of unknown function; member of the SUN-like family of proteins; genetic interactions suggest a role in folding of ER membrane proteins
ISN1	YOR155C	ISN1	Inosine 5'-monophosphate (IMP)-specific 5'-nucleotidase, catalyzes the breakdown of IMP to inosine, does not show similarity to known 5'-nucleotidases from other organisms
NFI1	YOR156C	NFI1	SUMO E3 ligase, catalyzes the covalent attachment of SUMO (Smt3p) to proteins; primary E3 ligase for Sir4p; sumoylates Yku70p/Yku80p and Sir4p in vivo to promote chromatin anchoring; promotes telomere anchoring to the nuclear envelope; involved in maintenance of proper telomere length
PET123	YOR158W	PET123	Mitochondrial ribosomal protein of the small subunit; PET123 exhibits genetic interactions with PET122, which encodes a COX3 mRNA-specific translational activator
DDP1	YOR163W	DDP1	Polyphosphate phosphatase; hydrolyzes diphosphorylated inositol polyphosphates and diadenosine polyphosphates; has high specificity for diadenosine hexa- and pentaphosphates; exhibits endopolyphosphatase activity with a high affinity for polyphosphates, an activity also observed for its human DIPP homologs; member of the MutT family of nucleotide hydrolases
DCS2	YOR173W	DCS2	Non-essential, stress induced regulatory protein; modulates m7G-oligoribonucleotide metabolism; inhibits Dcs1p; regulated by Msn2p, Msn4p, and the Ras-cAMP-cAPK signaling pathway; mutant has increased aneuploidy tolerance
HEM15	YOR176W	HEM15	Ferrochelatase, a mitochondrial inner membrane protein, catalyzes the insertion of ferrous iron into protoporphyrin IX, the eighth and final step in the heme biosynthetic pathway
MPC54	YOR177C	MPC54	Component of the meiotic outer plaque, a membrane-organizing center which is assembled on the cytoplasmic face of the spindle pole body during meiosis II and triggers the formation of the prospore membrane; potential Cdc28p substrate
GSP2	YOR185C	GSP2	GTP binding protein (mammalian Ranp homolog) involved in the maintenance of nuclear organization, RNA processing and transport; interacts with Kap121p, Kap123p and Pdr6p (karyophilin betas); Gsp1p homolog that is not required for viability
IES4	YOR189W	IES4	Component of the INO80 chromatiin remodeling complex and target of the Mec1p/Tel1p DNA damage signaling pathway; proposed to link chromatin remodeling to replication checkpoint responses
TOA1	YOR194C	TOA1	TFIIA large subunit; involved in transcriptional activation, acts as antirepressor or as coactivator; homologous to largest and second largest subunits of human and Drosophila TFIIA
AIM41	YOR215C	AIM41	Putative protein of unknown function; the authentic protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays reduced frequency of mitochondrial genome loss
RUD3	YOR216C	RUD3	Golgi matrix protein involved in the structural organization of the cis-Golgi; interacts genetically with COG3 and USO1
HER1	YOR227W	HER1	Protein of unknown function required for proliferation or remodeling of the ER that is caused by overexpression of Hmg2p; may interact with ribosomes, based on co-purification experiments
MCP1	YOR228C	MCP1	Protein of unknown function, localized to the mitochondrial outer membrane
HES1	YOR237W	HES1	Protein implicated in the regulation of ergosterol biosynthesis; one of a seven member gene family with a common essential function and non-essential unique functions; similar to human oxysterol binding protein (OSBP)
DGA1	YOR245C	DGA1	Diacylglycerol acyltransferase, catalyzes the terminal step of triacylglycerol (TAG) formation, acylates diacylglycerol using acyl-CoA as an acyl donor, localized to lipid particles
APC5	YOR249C	APC5	Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; component of the platform domain of the APC/C, based on structural analysis
CLP1	YOR250C	CLP1	Subunit of cleavage factor I (CFI), involved in both the endonucleolyitc cleavage and polyadenylation steps of mRNA 3'-end maturation
CDC31	YOR257W	CDC31	Calcium-binding component of the spindle pole body (SPB) half-bridge, required for SPB duplication in mitosis and meiosis II; homolog of mammalian centrin; binds multiubiquitinated proteins and is involved in proteasomal protein degradation
GPN2	YOR262W	GPN2	Protein of unknown function required for establishment of sister chromatid cohesion; contains an ATP/GTP binding site motif; similar to YLR243W and is highly conserved across species and homologous to human gene GPN2/ATPBD1B
YTM1	YOR272W	YTM1	Constituent of 66S pre-ribosomal particles, forms a complex with Nop7p and Erb1p that is required for maturation of the large ribosomal subunit; has seven C-terminal WD repeats
MOD5	YOR274W	MOD5	Delta 2-isopentenyl pyrophosphate:tRNA isopentenyl transferase, required for biosynthesis of the modified base isopentenyladenosine in mitochondrial and cytoplasmic tRNAs; gene is nuclear and encodes two isozymic forms
HUA2	YOR284W	HUA2	Cytoplasmic protein of unknown function; computational analysis of large-scale protein-protein interaction data suggests a possible role in actin patch assembly
YOR289W	YOR289W	YOR289W	Putative protein of unknown function; transcription induced by the unfolded protein response; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus
YOR292C	YOR292C	YOR292C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole; YOR292C is not an essential gene
YOR318C	YOR318C	YOR318C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; transcript is predicted to be spliced but there is no evidence that it is spliced in vivo
PMT3	YOR321W	PMT3	Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; acts in a complex with Pmt5p, can instead interact with Pmt1p in some conditions; target for new antifungals
PDR10	YOR328W	PDR10	ATP-binding cassette (ABC) transporter, multidrug transporter involved in the pleiotropic drug resistance network; regulated by Pdr1p and Pdr3p
SCD5	YOR329C	SCD5	Protein required for normal actin organization and endocytosis; targeting subunit for protein phosphatase type 1; undergoes Crm1p-dependent nuclear-cytoplasmic shuttling; multicopy suppressor of clathrin deficiency
TYE7	YOR344C	TYE7	Serine-rich protein that contains a basic-helix-loop-helix (bHLH) DNA binding motif; binds E-boxes of glycolytic genes and contributes to their activation; may function as a transcriptional activator in Ty1-mediated gene expression
PYK2	YOR347C	PYK2	Pyruvate kinase that appears to be modulated by phosphorylation; PYK2 transcription is repressed by glucose, and Pyk2p may be active under low glycolytic flux
PUT4	YOR348C	PUT4	Proline permease, required for high-affinity transport of proline; also transports the toxic proline analog azetidine-2-carboxylate (AzC); PUT4 transcription is repressed in ammonia-grown cells
RAD17	YOR368W	RAD17	Checkpoint protein, involved in the activation of the DNA damage and meiotic pachytene checkpoints; with Mec3p and Ddc1p, forms a clamp that is loaded onto partial duplex DNA; homolog of human and S. pombe Rad1 and U. maydis Rec1 proteins
GDH1	YOR375C	GDH1	NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh3p; expression regulated by nitrogen and carbon sources
YOR376W	YOR376W	YOR376W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; YOR376W is not an essential gene.
AMF1	YOR378W	AMF1	Putative paralog of ATR1, but not required for boron tolerance; member of the DHA2 family of drug:H+ antiporters; YOR378W is not an essential gene
YPL278C	YPL278C	YPL278C	Putative protein of unknown function; gene expression regulated by copper levels
FUM1	YPL262W	FUM1	Fumarase, converts fumaric acid to L-malic acid in the TCA cycle; cytosolic and mitochondrial distribution determined by the N-terminal targeting sequence, protein conformation, and status of glyoxylate shunt; phosphorylated in mitochondria
CLN2	YPL256C	CLN2	G1 cyclin involved in regulation of the cell cycle; activates Cdc28p kinase to promote the G1 to S phase transition; late G1 specific expression depends on transcription factor complexes, MBF (Swi6p-Mbp1p) and SBF (Swi6p-Swi4p)
GYP5	YPL249C	GYP5	GTPase-activating protein (GAP) for yeast Rab family members; involved in ER to Golgi trafficking; exhibits GAP activity toward Ypt1p that is stimulated by Gyl1p, also acts on Sec4p; interacts with Gyl1p, Rvs161p and Rvs167p; involved in recruiting Rvs167p to the bud tip during polarized growth
GAL4	YPL248C	GAL4	DNA-binding transcription factor required for the activation of the GAL genes in response to galactose; repressed by Gal80p and activated by Gal3p
YPL247C	YPL247C	YPL247C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; similar to the petunia WD repeat protein an11; overexpression causes a cell cycle delay or arrest
HUT1	YPL244C	HUT1	Protein with a role in UDP-galactose transport to the Golgi lumen, has similarity to human UDP-galactose transporter UGTrel1, exhibits a genetic interaction with S. cerevisiae ERO1
CIN2	YPL241C	CIN2	GTPase-activating protein (GAP) for Cin4p; tubulin folding factor C involved in beta-tubulin (Tub2p) folding; mutants display increased chromosome loss and benomyl sensitivity; deletion complemented by human GAP, retinitis pigmentosa 2
USV1	YPL230W	USV1	Putative transcription factor containing a C2H2 zinc finger; mutation affects transcriptional regulation of genes involved in growth on non-fermentable carbon sources, response to salt stress and cell wall biosynthesis
MMT2	YPL224C	MMT2	Putative metal transporter involved in mitochondrial iron accumulation; closely related to Mmt1p
GRE1	YPL223C	GRE1	Hydrophilin of unknown function; stress induced (osmotic, ionic, oxidative, heat shock and heavy metals); regulated by the HOG pathway
FMP40	YPL222W	FMP40	Putative protein of unknown function; proposed to be involved in responding to environmental stresses; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YPL216W	YPL216W	YPL216W	Putative protein of unknown function; YPL216W is not an essential gene
IPL1	YPL209C	IPL1	Aurora kinase subunit of the conserved chromosomal passenger complex (CPC; Ipl1p-Sli15p-Bir1p-Nbl1p), involved in regulating kinetochore-microtubule attachments; helps maintain condensed chromosomes during anaphase and early telophase
TPK2	YPL203W	TPK2	cAMP-dependent protein kinase catalytic subunit; promotes vegetative growth in response to nutrients via the Ras-cAMP signaling pathway; partially redundant with Tpk1p and Tpk3p; localizes to P-bodies during stationary phase
OXR1	YPL196W	OXR1	Protein of unknown function required for normal levels of resistance to oxidative damage, null mutants are sensitive to hydrogen peroxide; member of a conserved family of proteins found in eukaryotes
MF(ALPHA)1	YPL187W	MF(ALPHA)1	Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor
UIP4	YPL186C	UIP4	Protein that interacts with Ulp1p, a Ubl (ubiquitin-like protein)-specific protease for Smt3p protein conjugates; detected in a phosphorylated state in the mitochondrial outer membrane; also detected in ER and nuclear envelope
YPL182C	YPL182C	YPL182C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene CTI6/YPL181W
CTI6	YPL181W	CTI6	Protein that relieves transcriptional repression by binding to the Cyc8p-Tup1p corepressor and recruiting the SAGA complex to the repressed promoter; contains a PHD finger domain
TCO89	YPL180W	TCO89	Subunit of TORC1 (Tor1p or Tor2p-Kog1p-Lst8p-Tco89p), a complex that regulates growth in response to nutrient availability; cooperates with Ssd1p in the maintenance of cellular integrity; deletion strains are hypersensitive to rapamycin
DAP1	YPL170W	DAP1	Heme-binding protein involved in regulation of cytochrome P450 protein Erg11p; damage response protein, related to mammalian membrane progesterone receptors; mutations lead to defects in telomeres, mitochondria, and sterol synthesis
ATG29	YPL166W	ATG29	Autophagy-specific protein that is required for recruitment of other ATG proteins to the pre-autophagosomal structure (PAS); interacts with Atg17p and localizas to the PAS in a manner interdependent with Atg17p and Cis1p; not conserved
YPL142C	YPL142C	YPL142C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; completely overlaps the verified ORF RPL33A/YPL143W, a component of the large (60S) ribosomal subunit
RDS2	YPL133C	RDS2	Transcription factor involved in regulating gluconeogenesis and glyoxylate cycle genes; member of the zinc cluster family of proteins; confers resistance to ketoconazole
RNY1	YPL123C	RNY1	Vacuolar RNase of the T(2) family, relocalizes to the cytosol where it cleaves tRNAs upon oxidative or stationary phase stress; promotes apoptosis under stress conditions and this function is independent of its catalytic activity
DBP1	YPL119C	DBP1	Putative ATP-dependent RNA helicase of the DEAD-box protein family; mutants show reduced stability of the 40S ribosomal subunit scanning through 5' untranslated regions of mRNAs
YPL114W	YPL114W	YPL114W	Dubious open reading frame, unlikely to encode a functional protein; largely overlaps ORF YPL113C; diploid deletion in BY4743 strain background exhibits high budding index
GDE1	YPL110C	GDE1	Glycerophosphocholine (GroPCho) phosphodiesterase; hydrolyzes GroPCho to choline and glycerolphosphate, for use as a phosphate source and as a precursor for phosphocholine synthesis; may interact with ribosomes
DPC25	YPL107W	DPC25	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YPL107W is not an essential gene
MSD1	YPL104W	MSD1	Mitochondrial aspartyl-tRNA synthetase, required for acylation of aspartyl-tRNA; yeast and bacterial aspartyl-, asparaginyl-, and lysyl-tRNA synthetases contain regions with high sequence similarity, suggesting a common ancestral gene
INA17	YPL099C	INA17	Protein of unknown function; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss
EEB1	YPL095C	EEB1	Acyl-coenzymeA:ethanol O-acyltransferase responsible for the major part of medium-chain fatty acid ethyl ester biosynthesis during fermentation; possesses short-chain esterase activity; may be involved in lipid metabolism and detoxification
NOG1	YPL093W	NOG1	Putative GTPase that associates with free 60S ribosomal subunits in the nucleolus and is required for 60S ribosomal subunit biogenesis; constituent of 66S pre-ribosomal particles; member of the ODN family of nucleolar G-proteins
SEN54	YPL083C	SEN54	Subunit of the tRNA splicing endonuclease, which is composed of Sen2p, Sen15p, Sen34p, and Sen54p
YPL077C	YPL077C	YPL077C	Putative protein of unknown function; regulates PIS1 expression; mutant displays spore wall assembly defect in ether sensitivity screen; YPL077C is not an essential gene
YPL071C	YPL071C	YPL071C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus
CWC27	YPL064C	CWC27	Component of a complex containing Cef1p, putatively involved in pre-mRNA splicing; has similarity to S. pombe Cwf27p
ARL3	YPL051W	ARL3	GTPase of the Ras superfamily required to recruit Arl1p to the Golgi; similar to ADP-ribosylation factor
DIG1	YPL049C	DIG1	MAP kinase-responsive inhibitor of the Ste12p transcription factor, involved in the regulation of mating-specific genes and the invasive growth pathway; related regulators Dig1p and Dig2p bind to Ste12p
SGF11	YPL047W	SGF11	Integral subunit of SAGA histone acetyltransferase complex, regulates transcription of a subset of SAGA-regulated genes, required for the Ubp8p association with SAGA and for H2B deubiquitylation
ELC1	YPL046C	ELC1	Elongin C, conserved among eukaryotes; forms a complex with Cul3p that polyubiquitylates monoubiquitylated RNA polymerase II to trigger its proteolysis; plays a role in global genomic repair
VPS16	YPL045W	VPS16	Subunit of the vacuole fusion and protein sorting HOPS complex and the CORVET tethering complex; part of the Class C Vps complex essential for membrane docking and fusion at Golgi-to-endosome and endosome-to-vacuole protein transport stages
ISM1	YPL040C	ISM1	Mitochondrial isoleucyl-tRNA synthetase, null mutant is deficient in respiratory growth
PMA2	YPL036W	PMA2	Plasma membrane H+-ATPase, isoform of Pma1p, involved in pumping protons out of the cell; regulator of cytoplasmic pH and plasma membrane potential
YPL035C	YPL035C	YPL035C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized gene YPL034W; YPL035C is not an essential gene
IRC15	YPL017C	IRC15	Microtubule associated protein; regulates microtubule dynamics; required for accurate meiotic chromosome segregation; null mutant displays large budded cells due to delayed mitotic progression, increased levels of spontaneous Rad52 foci
HST2	YPL015C	HST2	Cytoplasmic member of the silencing information regulator 2 (Sir2) family of NAD(+)-dependent protein deacetylases; modulates nucleolar (rDNA) and telomeric silencing; possesses NAD(+)-dependent histone deacetylase activity in vitro
LSP1	YPL004C	LSP1	Primary component of eisosomes, which are large immobile patch structures at the cell cortex associated with endocytosis, along with Pil1p and Sur7p; null mutants show activation of Pkc1p/Ypk1p stress resistance pathways; member of the BAR domain family
SNF8	YPL002C	SNF8	Component of the ESCRT-II complex, which is involved in ubiquitin-dependent sorting of proteins into the endosome; appears to be functionally related to SNF7; involved in glucose derepression
HAT1	YPL001W	HAT1	Catalytic subunit of the Hat1p-Hat2p histone acetyltransferase complex that uses the cofactor acetyl coenzyme A, to acetylate free nuclear and cytoplasmic histone H4; involved in telomeric silencing and DNA double-strand break repair
YPR003C	YPR003C	YPR003C	Putative sulfate permease; physically interacts with Hsp82p; green fluorescent protein (GFP)-fusion protein localizes to the ER; YPR003C is not an essential gene
AIM45	YPR004C	AIM45	Putative ortholog of mammalian electron transfer flavoprotein complex subunit ETF-alpha; interacts with frataxin, Yfh1p; null mutant displays elevated frequency of mitochondrial genome loss; may have a role in oxidative stress response
HAL1	YPR005C	HAL1	Cytoplasmic protein involved in halotolerance; decreases intracellular Na+ (via Ena1p) and increases intracellular K+ by decreasing efflux; expression repressed by Ssn6p-Tup1p and Sko1p and induced by NaCl, KCl, and sorbitol through Gcn4p
ICL2	YPR006C	ICL2	2-methylisocitrate lyase of the mitochondrial matrix, functions in the methylcitrate cycle to catalyze the conversion of 2-methylisocitrate to succinate and pyruvate; ICL2 transcription is repressed by glucose and induced by ethanol
YPR011C	YPR011C	YPR011C	Putative transporter, member of the mitochondrial carrier family; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YPR014C	YPR014C	YPR014C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; YPR014C is not an essential gene
YPR015C	YPR015C	YPR015C	Putative protein of unknown function; overexpression causes a cell cycle delay or arrest
MCM4	YPR019W	MCM4	Essential helicase component of heterohexameric MCM2-7 complexes which bind pre-replication complexes on DNA and melt DNA prior to replication; forms an Mcm4p-6p-7p subcomplex; shows nuclear accumulation in G1; homolog of S. pombe Cdc21p
ATP20	YPR020W	ATP20	Subunit g of the mitochondrial F1F0 ATP synthase; reversibly phosphorylated on two residues; unphosphorylated form is required for dimerization of the ATP synthase complex
EAF3	YPR023C	EAF3	Esa1p-associated factor, nonessential component of the NuA4 acetyltransferase complex, homologous to Drosophila dosage compensation protein MSL3; plays a role in regulating Ty1 transposition
CCL1	YPR025C	CCL1	Cyclin associated with protein kinase Kin28p, which is the TFIIH-associated carboxy-terminal domain (CTD) kinase involved in transcription initiation at RNA polymerase II promoters
ATH1	YPR026W	ATH1	Acid trehalase required for utilization of extracellular trehalose
CSR2	YPR030W	CSR2	Nuclear protein proposed to regulate utilization of nonfermentable carbon sources and endocytosis of plasma membrane proteins; overproduction suppresses chs5 spa2 lethality at high temp; ubiquitinated by Rsp5p, deubiquitinated by Ubp2p
SRO7	YPR032W	SRO7	Effector of Rab GTPase Sec4p, forms a complex with Sec4p and t-SNARE Sec9p; involved in exocytosis and docking and fusion of post-Golgi vesicles with plasma membrane; homolog of Sro77p and Drosophila lgl tumor suppressor
ERV2	YPR037C	ERV2	Flavin-linked sulfhydryl oxidase localized to the endoplasmic reticulum lumen, involved in disulfide bond formation within the ER
